A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,,match,mismatch
A,0.981481481,0.981481481,0.925925926,0.944444444,0.916666667,0.888888889,,0.962962963,0.916666667
A,0.972222222,0.925925926,0.935185185,0.638888889,0.916666667,0.916666667,,0.944444444,0.824074074
A,0.981481481,0.990740741,0.898148148,0.916666667,0.944444444,0.986111111,,0.956790123,0.949074074
A,0.944444444,0.851851852,0.944444444,0.805555556,0.833333333,0.930555556,,0.913580247,0.856481482
A,0.898148148,0.824074074,0.944444444,0.652777778,0.763888889,0.680555556,,0.888888889,0.699074074
A,0.925925926,0.907407407,0.935185185,0.777777778,0.875,0.805555556,,0.922839506,0.819444445
A,0.796296296,0.935185185,0.592592593,0.555555556,0.666666667,0.791666667,,0.774691358,0.671296297
A,1,0.972222222,0.962962963,0.986111111,0.972222222,0.958333333,,0.978395062,0.972222222
A,0.935185185,0.907407407,0.898148148,0.861111111,0.847222222,0.819444444,,0.913580247,0.842592592
A,0.944444444,0.962962963,0.962962963,0.833333333,0.652777778,0.75,,0.956790123,0.74537037
A,0.851851852,0.907407407,0.796296296,0.916666667,0.958333333,0.902777778,,0.851851852,0.925925926
A,0.907407407,0.925925926,0.935185185,0.805555556,0.611111111,0.902777778,,0.922839506,0.773148148
A,0.916666667,0.981481481,0.842592593,0.930555556,0.833333333,0.805555556,,0.913580247,0.856481482
A,0.861111111,0.990740741,0.990740741,0.805555556,0.958333333,0.972222222,,0.947530864,0.912037037
A,0.962962963,0.962962963,0.842592593,0.638888889,0.875,0.833333333,,0.922839506,0.782407407
A,0.953703704,1,0.898148148,0.902777778,0.833333333,0.902777778,,0.950617284,0.87962963
A,0.824074074,0.796296296,0.787037037,0.680555556,0.722222222,0.736111111,,0.802469136,0.712962963
A,0.777777778,0.925925926,0.814814815,0.847222222,0.833333333,0.819444444,,0.839506173,0.833333333
A,0.796296296,0.87962963,0.925925926,0.875,0.958333333,0.861111111,,0.867283951,0.898148148
A,0.944444444,0.953703704,0.925925926,0.888888889,0.861111111,0.861111111,,0.941358025,0.87037037
