subj_idx,A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,friend_dif,self_dif,stranger_dif
1,A,0.981481481,0.981481481,0.925925926,0.944444444,0.916666667,0.888888889,0.037037037,0.064814814,0.037037037
2,A,0.972222222,0.925925926,0.935185185,0.638888889,0.916666667,0.916666667,0.333333333,0.009259259,0.018518518
3,A,0.981481481,0.990740741,0.898148148,0.916666667,0.944444444,0.986111111,0.064814814,0.046296297,0.087962963
4,A,0.944444444,0.851851852,0.944444444,0.805555556,0.833333333,0.930555556,0.138888888,0.018518519,0.013888888
5,A,0.898148148,0.824074074,0.944444444,0.652777778,0.763888889,0.680555556,0.24537037,0.060185185,0.263888888
6,A,0.925925926,0.907407407,0.935185185,0.777777778,0.875,0.805555556,0.148148148,0.032407407,0.129629629
7,A,0.796296296,0.935185185,0.592592593,0.555555556,0.666666667,0.791666667,0.24074074,0.268518518,0.199074074
8,A,1,0.972222222,0.962962963,0.986111111,0.972222222,0.958333333,0.013888889,0,0.00462963
9,A,0.935185185,0.907407407,0.898148148,0.861111111,0.847222222,0.819444444,0.074074074,0.060185185,0.078703704
10,A,0.944444444,0.962962963,0.962962963,0.833333333,0.652777778,0.75,0.111111111,0.310185185,0.212962963
11,A,0.851851852,0.907407407,0.796296296,0.916666667,0.958333333,0.902777778,0.064814815,0.050925926,0.106481482
12,A,0.907407407,0.925925926,0.935185185,0.805555556,0.611111111,0.902777778,0.101851851,0.314814815,0.032407407
13,A,0.916666667,0.981481481,0.842592593,0.930555556,0.833333333,0.805555556,0.013888889,0.148148148,0.037037037
14,A,0.861111111,0.990740741,0.990740741,0.805555556,0.958333333,0.972222222,0.055555555,0.032407408,0.018518519
15,A,0.962962963,0.962962963,0.842592593,0.638888889,0.875,0.833333333,0.324074074,0.087962963,0.00925926
16,A,0.953703704,1,0.898148148,0.902777778,0.833333333,0.902777778,0.050925926,0.166666667,0.00462963
17,A,0.824074074,0.796296296,0.787037037,0.680555556,0.722222222,0.736111111,0.143518518,0.074074074,0.050925926
18,A,0.777777778,0.925925926,0.814814815,0.847222222,0.833333333,0.819444444,0.069444444,0.092592593,0.004629629
19,A,0.796296296,0.87962963,0.925925926,0.875,0.958333333,0.861111111,0.078703704,0.078703703,0.064814815
20,A,0.944444444,0.953703704,0.925925926,0.888888889,0.861111111,0.861111111,0.055555555,0.092592593,0.064814815
21,A,0.861111111,0.953703704,0.787037037,0.805555556,0.861111111,0.902777778,0.055555555,0.092592593,0.115740741
22,A,0.861111111,0.972222222,0.953703704,0.791666667,0.666666667,0.833333333,0.069444444,0.305555555,0.120370371
23,A,0.916666667,0.833333333,0.675925926,0.777777778,0.861111111,0.875,0.138888889,0.027777778,0.199074074
24,A,0.972222222,1,0.814814815,0.777777778,0.680555556,0.805555556,0.194444444,0.319444444,0.009259259
1,B,0.777777778,0.986111111,0.652777778,0.851851852,0.805555556,0.833333333,0.074074074,0.180555555,0.180555555
2,B,0.805555556,0.958333333,0.819444444,0.87962963,0.916666667,0.898148148,0.074074074,0.041666666,0.078703704
3,B,0.652777778,0.513888889,0.819444444,0.796296296,0.842592593,0.777777778,0.143518518,0.328703704,0.041666666
4,B,0.694444444,0.930555556,0.638888889,0.87962963,0.907407407,0.888888889,0.185185186,0.023148149,0.25
5,B,0.736111111,0.791666667,0.597222222,0.805555556,0.87037037,0.861111111,0.069444445,0.078703703,0.263888889
6,B,0.888888889,0.972222222,0.819444444,0.972222222,0.907407407,0.981481481,0.083333333,0.064814815,0.162037037
7,B,0.819444444,0.930555556,0.694444444,0.768518519,0.898148148,0.814814815,0.050925925,0.032407408,0.120370371
8,B,0.694444444,0.847222222,0.916666667,0.851851852,0.907407407,0.944444444,0.157407408,0.060185185,0.027777777
9,B,0.916666667,0.958333333,0.847222222,0.916666667,0.925925926,0.962962963,0,0.032407407,0.115740741
10,B,0.972222222,1,0.763888889,0.935185185,0.962962963,0.916666667,0.037037037,0.037037037,0.152777778
11,B,0.833333333,0.833333333,0.625,0.925925926,0.861111111,0.888888889,0.092592593,0.027777778,0.263888889
12,B,0.694444444,0.625,0.305555556,0.898148148,0.814814815,0.833333333,0.203703704,0.189814815,0.527777777
13,B,0.930555556,0.986111111,0.875,0.87037037,0.907407407,0.935185185,0.060185186,0.078703704,0.060185185
14,B,0.861111111,0.944444444,0.875,0.944444444,0.962962963,0.935185185,0.083333333,0.018518519,0.060185185
15,B,0.833333333,0.930555556,0.722222222,0.898148148,0.851851852,0.833333333,0.064814815,0.078703704,0.111111111
16,B,0.875,0.819444444,0.736111111,0.796296296,0.888888889,0.833333333,0.078703704,0.069444445,0.097222222
17,B,0.875,0.972222222,0.791666667,0.851851852,0.898148148,0.777777778,0.023148148,0.074074074,0.013888889
18,B,0.791666667,0.930555556,0.708333333,0.888888889,0.898148148,0.916666667,0.097222222,0.032407408,0.208333334
19,B,0.763888889,0.944444444,0.708333333,0.824074074,0.824074074,0.833333333,0.060185185,0.12037037,0.125
20,B,0.833333333,0.361111111,0.555555556,0.805555556,0.861111111,0.768518519,0.027777777,0.5,0.212962963
21,B,1,0.666666667,0.652777778,0.925925926,0.898148148,0.842592593,0.074074074,0.231481481,0.189814815
23,B,0.930555556,0.944444444,0.916666667,0.824074074,0.953703704,0.935185185,0.106481482,0.00925926,0.018518518
24,B,0.972222222,0.944444444,0.861111111,0.935185185,0.953703704,0.944444444,0.037037037,0.00925926,0.083333333
