subj_idx,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch
1,695.6509433962265,651.0377358490566,808.98,850.2205882352941,825.8333333333334,842.6875
2,665.2952380952381,801.36,776.3762376237623,883.195652173913,887.2272727272727,915.439393939394
3,646.7075471698113,590.1121495327103,692.9072164948453,718.969696969697,690.1617647058823,709.0281690140845
4,852.8235294117648,817.7065217391304,875.656862745098,999.9137931034483,1001.5166666666667,949.5373134328358
5,702.9072164948453,854.5280898876405,720.1764705882352,948.9574468085107,937.3272727272728,883.469387755102
6,730.07,707.2551020408164,813.3663366336634,834.3214285714286,789.936507936508,813.5
7,667.6860465116279,608.2970297029703,769.609375,772.7,787.9375,761.0526315789474
8,778.2314814814815,730.7714285714286,874.6153846153846,856.3380281690141,879.8857142857142,864.7826086956521
9,822.6336633663366,851.5714285714286,959.6288659793814,974.8709677419355,999.0491803278688,1014.5932203389831
10,618.6372549019608,614.3076923076923,645.8942307692307,766.2833333333333,808.7021276595744,785.4074074074074
11,746.7826086956521,684.1836734693877,814.953488372093,748.5909090909091,790.1449275362319,719.9846153846154
12,643.3673469387755,605.54,616.8316831683169,746.6379310344828,791.3636363636364,773.8615384615384
13,845.1212121212121,646.5471698113207,874.3296703296703,900.2089552238806,858.5166666666667,895
14,845.1935483870968,663.6635514018692,795.8598130841121,881.5862068965517,815.6086956521739,851.7714285714286
15,558.5769230769231,577.8076923076923,604.2307692307693,670.4347826086956,655.2857142857143,624.05
16,763.9223300970874,619.7962962962963,787.7113402061856,866.0153846153846,858.9166666666666,923.4923076923077
17,814.2471910112359,801.9186046511628,809.2588235294118,923.2448979591836,928.3269230769231,876.2264150943396
18,1183.595238095238,1064.14,1145.9886363636363,1191.2131147540983,1196.4666666666667,1195.915254237288
19,896.8604651162791,740.6315789473684,845.38,912.4920634920635,875.9710144927536,930.6451612903226
20,664.8039215686274,649.0485436893204,683.72,759.1875,766.6774193548387,785.2741935483871
21,604.6021505376344,573.8252427184466,631.8941176470588,674.2413793103449,629.1774193548387,666.0615384615385
22,632.0430107526881,584.1333333333333,567.9029126213592,674.7894736842105,694.9583333333334,684.1833333333333
23,675.1414141414141,669.4,672.917808219178,817.8928571428571,756.4516129032259,791.6825396825396
24,538.1238095238095,483.9074074074074,614.7045454545455,656.3392857142857,647.8571428571429,655.2586206896551
